#r,   l, node, open or close = 00open    00close    01close    10open    10close    11close    20open    20close    21close    30open    30close    31close    40open    40close    41close    50open    50close    51close    
   0.32140783   0.29471328   0.50240766  -0.85013803   0.08110971   0.17798334  -0.44751265   0.02069351   0.05539571  -0.18433206   0.00510111   0.01607104  -0.06694710   0.00123293   0.00445821  -0.02247976   0.00029416   0.00119881  -0.00714857
   0.32946717   0.30180161   0.51380053  -0.86310436   0.08511322   0.18648946  -0.46629770   0.02225130   0.05947026  -0.19692919   0.00562055   0.01767758  -0.07330833   0.00139201   0.00502456  -0.02522688   0.00034031   0.00138436  -0.00822069
   0.33755450   0.30889221   0.52514469  -0.87554091   0.08921886   0.19518456  -0.48524411   0.02388824   0.06373975  -0.21001013   0.00617978   0.01940258  -0.08008895   0.00156747   0.00564761  -0.02822980   0.00039245   0.00159348  -0.00942201
   0.34566990   0.31598439   0.53643742  -0.88743349   0.09342677   0.20406669  -0.50432923   0.02560647   0.06820823  -0.22357296   0.00678087   0.02125166  -0.08730265   0.00176058   0.00633154  -0.03150448   0.00045122   0.00182854  -0.01076423
   0.35381347   0.32307747   0.54767593  -0.89876811   0.09773706   0.21313380  -0.52352973   0.02740813   0.07287966  -0.23761463   0.00742597   0.02323054  -0.09496273   0.00197269   0.00708071  -0.03506723   0.00051728   0.00209207  -0.01225969
   0.36198532   0.33017076   0.55885742  -0.90953095   0.10214980   0.22238365  -0.54282168   0.02929537   0.07775786  -0.25213093   0.00811728   0.02534503  -0.10308197   0.00220521   0.00789970  -0.03893470   0.00059135   0.00238679  -0.01392142
   0.37018554   0.33726354   0.56997903  -0.91970841   0.10666506   0.23181391  -0.56218051   0.03127033   0.08284657  -0.26711650   0.00885705   0.02760101  -0.11167266   0.00245964   0.00879326  -0.04312384   0.00067423   0.00271559  -0.01576312
   0.37841423   0.34435509   0.58103791  -0.92928710   0.11128285   0.24142210  -0.58158103   0.03333516   0.08814939  -0.28256475   0.00964761   0.03000446  -0.12074643   0.00273754   0.00976635  -0.04765181   0.00076675   0.00308156  -0.01779915
   0.38667149   0.35144469   0.59203116  -0.93825390   0.11600317   0.25120558  -0.60099748   0.03549199   0.09366979  -0.29846785   0.01049133   0.03256141  -0.13031428   0.00304055   0.01082412  -0.05253601   0.00086981   0.00348801  -0.02004455
   0.39495741   0.35853158   0.60295582  -0.94659592   0.12082597   0.26116158  -0.62040352   0.03774295   0.09941113  -0.31481671   0.01139063   0.03527797  -0.14038646   0.00337038   0.01197192  -0.05779395   0.00098437   0.00393843  -0.02251498
   0.40327210   0.36561502   0.61380895  -0.95430056   0.12575119   0.27128719  -0.63977229   0.04009018   0.10537659  -0.33160096   0.01234800   0.03816030  -0.15097238   0.00372883   0.01321531  -0.06344323   0.00111146   0.00443656  -0.02522678
   0.41161566   0.37269424   0.62458755  -0.96135551   0.13077873   0.28157935  -0.65907636   0.04253578   0.11156923  -0.34880893   0.01336600   0.04121460  -0.16208062   0.00411777   0.01456003  -0.06950148   0.00125219   0.00498633  -0.02819689
   0.41998818   0.37976846   0.63528859  -0.96774877   0.13590844   0.29203484  -0.67828783   0.04508186   0.11799193  -0.36642760   0.01444720   0.04444712  -0.17371878   0.00453918   0.01601202  -0.07598629   0.00140772   0.00559192  -0.03144283
   0.42838977   0.38683690   0.64590902  -0.97346868   0.14114016   0.30265030  -0.69737833   0.04773052   0.12464742  -0.38444261   0.01559427   0.04786412  -0.18589343   0.00499509   0.01757742  -0.08291513   0.00157930   0.00625773  -0.03498273
   0.43682053   0.39389875   0.65644577  -0.97850393   0.14647367   0.31342223  -0.71631901   0.05048384   0.13153825  -0.40283825   0.01680991   0.05147191  -0.19861009   0.00548764   0.01926256  -0.09030528   0.00176827   0.00698843  -0.03883524
   0.44528056   0.40095320   0.66689572  -0.98284357   0.15190874   0.32434694  -0.73508064   0.05334388   0.13866677  -0.42159742   0.01809687   0.05527676  -0.21187308   0.00601905   0.02107394  -0.09817379   0.00197602   0.00778890  -0.04301951
   0.45376995   0.40799944   0.67725573  -0.98647705   0.15744509   0.33542063  -0.75363356   0.05631270   0.14603517  -0.44070164   0.01945796   0.05928499  -0.22568551   0.00659162   0.02301828  -0.10653732   0.00220407   0.00866430  -0.04755513
   0.46228883   0.41503662   0.68752265  -0.98939420   0.16308240   0.34663932  -0.77194779   0.05939232   0.15364543  -0.46013104   0.02089605   0.06350288  -0.24004918   0.00720775   0.02510245  -0.11541214   0.00245398   0.00962003  -0.05246214
   0.47083727   0.42206390   0.69769327  -0.99158531   0.16882032   0.35799886  -0.78999299   0.06258476   0.16149931  -0.47986432   0.02241403   0.06793669  -0.25496451   0.00786993   0.02733350  -0.12481399   0.00272745   0.01066178  -0.05776088
   0.47941540   0.42908042   0.70776439  -0.99304109   0.17465846   0.36949498  -0.80773856   0.06589200   0.16959838  -0.49987882   0.02401486   0.07259263  -0.27043048   0.00858075   0.02971865  -0.13475801   0.00302625   0.01179547  -0.06347204
   0.48802331   0.43608531   0.71773275  -0.99375272   0.18059639   0.38112321  -0.82515362   0.06931600   0.17794396  -0.52015045   0.02570154   0.07747689  -0.28644458   0.00934288   0.03226530  -0.14525862   0.00335224   0.01302730  -0.06961648
   0.49666110   0.44307769   0.72759510  -0.99371187   0.18663364   0.39287894  -0.84220711   0.07285870   0.18653716  -0.54065371   0.02747711   0.08259558  -0.30300270   0.01015908   0.03498097  -0.15632946   0.00370740   0.01436377  -0.07621524
   0.50532888   0.45005666   0.73734814  -0.99291071   0.19276969   0.40475739  -0.85886774   0.07652201   0.19537885  -0.56136173   0.02934464   0.08795473  -0.32009909   0.01103223   0.03787335  -0.16798325   0.00409381   0.01581162  -0.08328943
   0.51402675   0.45702131   0.74698855  -0.99134193   0.19900401   0.41675364  -0.87510414   0.08030779   0.20446964  -0.58224623   0.03130728   0.09356028  -0.33772632   0.01196528   0.04095026  -0.18023172   0.00451367   0.01737787  -0.09086013
