# y(file,data)
#      x           y(1,1)       y(2,1)       y(3,1)     sum_data1  
     9.658494     0.015884     0.028518     0.030716     0.134350
     9.733326     0.017003     0.026852     0.033461     0.137629
     9.808158     0.020291     0.030100     0.042551     0.165594
     9.882990     0.024887     0.035731     0.052489     0.201328
     9.957822     0.022873     0.040563     0.059347     0.222694
    10.032654     0.022022     0.042193     0.055448     0.217304
    10.107486     0.025863     0.041381     0.049179     0.206984
    10.182317     0.030222     0.035978     0.045615     0.193409
    10.257149     0.026921     0.033116     0.038498     0.170148
    10.331981     0.024876     0.029674     0.029732     0.143687
    10.406813     0.024435     0.030808     0.021505     0.129061
    10.481645     0.023802     0.031394     0.016671     0.119932
    10.556477     0.023121     0.034044     0.020422     0.132053
    10.631309     0.020787     0.041604     0.024174     0.152344
    10.706141     0.025110     0.049681     0.030312     0.185098
    10.780973     0.032809     0.047209     0.024746     0.176720
    10.855805     0.043576     0.038028     0.015882     0.151395
    10.930636     0.017921     0.028103     0.009368     0.092864
    11.005468     0.010628     0.025126     0.013517     0.087914
    11.080300     0.014069     0.040883     0.019160     0.134154
    11.155132     0.021606     0.049619     0.022368     0.165580
    11.229964     0.028075     0.046229     0.022496     0.165526
    11.304796     0.031614     0.037998     0.026640     0.160890
    11.379628     0.023539     0.041483     0.023666     0.153837
    11.454460     0.019740     0.050573     0.026701     0.174288
    11.529292     0.017662     0.061441     0.027890     0.196324
    11.604124     0.015944     0.085618     0.032170     0.251520
    11.678955     0.015048     0.116926     0.045574     0.340047
    11.753787     0.014826     0.120708     0.049892     0.356027
    11.828619     0.017177     0.106146     0.048579     0.326625
    11.903451     0.023184     0.099888     0.052751     0.328462
    11.978283     0.027338     0.101522     0.068614     0.367610
    12.053115     0.030961     0.120315     0.075177     0.421945
    12.127947     0.032032     0.096532     0.074740     0.374577
    12.202779     0.027512     0.076127     0.088828     0.357422
    12.277611     0.027556     0.066588     0.088109     0.336951
    12.352443     0.040797     0.053777     0.096704     0.341759
    12.427274     0.059667     0.051466     0.062321     0.287242
    12.502106     0.059003     0.045005     0.060064     0.269141
    12.576938     0.046595     0.043926     0.054057     0.242561
    12.651770     0.032489     0.057037     0.076586     0.299735
    12.726602     0.031203     0.056741     0.106784     0.358253
    12.801434     0.027518     0.038807     0.067418     0.239968
    12.876266     0.029326     0.029151     0.076312     0.240252
    12.951098     0.031138     0.021084     0.066031     0.205368
    13.025930     0.018711     0.020103     0.040361     0.139638
    13.100762     0.016558     0.018440     0.031970     0.117378
    13.175593     0.018507     0.010649     0.055977     0.151757
    13.250425     0.035173     0.026685     0.092750     0.274043
    13.325257     0.032244     0.046087     0.156159     0.436736
    13.400089     0.028803     0.073228     0.112124     0.399507
    13.474921     0.027506     0.054287     0.161582     0.459244
    13.549753     0.026929     0.055115     0.167890     0.472939
    13.624585     0.034446     0.050660     0.165698     0.467163
    13.699417     0.042437     0.050010     0.167432     0.477322
    13.774249     0.061195     0.069127     0.201433     0.602316
    13.849081     0.043808     0.062885     0.215171     0.599920
    13.923912     0.057218     0.050119     0.105106     0.367668
    13.998744     0.065898     0.063437     0.112491     0.417753
    14.073576     0.104263     0.073352     0.145610     0.542187
    14.148408     0.188147     0.056828     0.105352     0.512506
    14.223240     0.319118     0.049570     0.094007     0.606271
    14.298072     0.351674     0.038305     0.091714     0.611712
    14.372904     0.426907     0.037491     0.082120     0.666130
    14.447736     0.537795     0.053969     0.132853     0.911440
